Author,Year,Title,Journal,Abstract,article_id,keywords,Terrestrial/Aquatic,Ecosystem,Location,Study Type,Organism,Mechanism of Shift,Stressor Category,Specific Stressor,Measure,Tissue Type,Lipid Correction,TDF,Baselines,Result (Direction),Result description,Where result appears in paper,Model,P-value,R-squared
"Qin, Yuan and Duan, Guoxiu and Zhao, Zhiliang and Tian, Hui and Solaiman, Zakaria M",2018,(18)O-labeled phosphate applied to soil appears in the shoots of maize after uptake by roots but not after uptake by an arbuscular mycorrhizal fungus.,Mycorrhiza,"The application of (33)P or (32)P isotopes to directly trace phosphorus (P) uptake during arbuscular mycorrhizal (AM) symbiosis is limited by the radioactivity of the two P isotopes, especially under field conditions. A potential alternative method for tracing P uptake in plant-soil systems relies on the analysis of the stable oxygen (O) isotopes of ortho-phosphate (Pi); however, little is known about the fate of the P-O bond during Pi uptake in AM symbioses. This study investigated whether the abundance of (18)O in Pi extracted from the shoots of maize increased after (18)O-labeled Pi added to soil was taken up by either roots of maize or AM extraradical hyphae. A two-compartment culture system, consisting of a root and AM hyphal compartment (RHC, including both roots and AM hyphae) and an AM hyphal compartment (HC, including only hyphae) was designed, and the AM fungus Funneliformis mosseae was used to inoculate the roots of maize. Our results indicated that the abundance of (18)O in Pi extracted from the maize shoots increased significantly 3 months after the addition of (18)O-labeled Pi to the soil in the pots which only contained roots. The abundance of (18)O was much lower than expected, however, which suggests a great majority of (18)O in labeled Pi was lost in the soil or during Pi metabolism in the shoots of maize. The abundance of (18)O in Pi extracted from the maize shoots did not increase 3 months after (18)O-labeled Pi was added to the HC, and therefore, loss of (18)O in labeled Pi may also occur during Pi metabolism in AM hyphae. Use of (18)O-labeled Pi as a qualitative tracer of P uptake during AM symbiosis appears unfeasible for such a long-term (3 months) experiment, although it should be investigated in a short-term labeling experiment.",10.1007/s00572-018-0849-5 [pii] and 10.1007/s00572-018-0849-5 [doi],18O and Arbuscular mycorrhizal fungi and Corn and Phosphorus and Stable isotope,,,,,,,,,,,,,,,,,,,
"Li, Jibing and Luo, Chunling and Zhang, Gan and Zhang, Dayi",2018,Coupling magnetic-nanoparticle mediated isolation (MMI) and stable isotope probing (SIP) for identifying and isolating the active microbes involved in phenanthrene degradation in wastewater with higher resolution and accuracy.,Water research,"Stable isotope probing (SIP) is a cultivation-independent approach identifying the functional microbes in their natural habitats, possibly linking their identities to functions. DNA-SIP is well-established but suffers from the shift of (12)C-DNA into the heavy DNA ((13)C-DNA) fraction, which significantly reduces the resolution and accuracy. In this study, we coupled magnetic-nanoparticle mediated isolation (MMI) and DNA-SIP, namely MMI-SIP, to identify the active microbes involved in phenanthrene degradation from PAH-contaminated wastewater. Microbes affiliated to Pseudomonas and Sphingobium were responsible for in situ phenanthrene metabolism from the SIP results, and Pigmentiphaga was only unraveled for phenanthrene degradation in the MMI and MMI-SIP microcosms. MMI-SIP also significantly increased the enrichment of the above microbes and genes encoding the alpha subunit of the PAH-ring hydroxylating dioxygenase (PAH-RHD(α)) in the heavy DNA fractions. Our findings suggest that MMI-SIP is a powerful tool, with higher resolution and accuracy, to distinguish the active microbes involved in phenanthrene metabolism in the wastewater, provide a more precise map of functional microbial communities, and offer suggestions for effective management for wastewater treatment plants.",S0043-1354(18)30579-7 [pii] and 10.1016/j.watres.2018.07.036 [doi],Active microbes for phenanthrene degradation and MMI-SIP and Magnetic-nanoparticle mediated isolation (MMI) and PAH-RHD(α) genes and Stable isotope probing (SIP),,,,,,,,,,,,,,,,,,,
"Fox, Michael D and Williams, Gareth J and Johnson, Maggie D and Radice, Veronica Z and Zgliczynski, Brian J and Kelly, Emily L A and Rohwer, Forest L and Sandin, Stuart A and Smith, Jennifer E",2018,Gradients in Primary Production Predict Trophic Strategies of Mixotrophic Corals across Spatial Scales.,Current biology : CB,"Mixotrophy is among the most successful nutritional strategies in terrestrial and marine ecosystems. The ability of organisms to supplement primary nutritional modes along continua of autotrophy and heterotrophy fosters trophic flexibility that can sustain metabolic demands under variable or stressful conditions. Symbiotic, reef-building corals are among the most broadly distributed and ecologically important mixotrophs, yet we lack a basic understanding of how they modify their use of autotrophy and heterotrophy across gradients of food availability. Here, we evaluate how one coral species, Pocillopora meandrina, supplements autotrophic nutrition through heterotrophy within an archipelago and test whether this pattern holds across species globally. Using stable isotope analysis (δ(13)C) and satellite-derived estimates of nearshore primary production (chlorophyll-a, as a proxy for food availability), we show that P. meandrina incorporates a greater proportion of carbon via heterotrophy when more food is available across five central Pacific islands. We then show that this pattern is consistent globally using data from 15 coral species across 16 locations spanning the Caribbean Sea and the Indian and Pacific Oceans. Globally, surface chlorophyll-a explains 77% of the variation in coral heterotrophic nutrition, 86% for one genus across 10 islands, and 94% when controlling for coral taxonomy within archipelagos. These results demonstrate, for the first time, that satellite-derived estimates of nearshore primary production provide a globally relevant proxy for resource availability that can explain variation in coral trophic ecology. Thus, our model provides a pivotal step toward resolving the biophysical couplings between mixotrophic organisms and spatial patterns of resource availability in the coastal oceans.",S0960-9822(18)31141-2 [pii] and 10.1016/j.cub.2018.08.057 [doi],chlorophyll-a and coral reef and heterotrophy and nutrients and oceanography and phytoplankton and remote sensing and stable isotopes,,,,,,,,,,,,,,,,,,,
"Villalba-Mouco, Vanessa and Utrilla, Pilar and Laborda, Rafael and Lorenzo, José Ignacio and Martínez-Labarga, Cristina and Salazar-García, Domingo C",2018,Reconstruction of human subsistence and husbandry strategies from the Iberian Early Neolithic: A stable isotope approach.,American journal of physical anthropology,"OBJECTIVES: The Early Neolithic involved an important social and economic shift that can be tested not only with the material culture, but also through biomolecular approaches. The Iberian Peninsula presents few Early Neolithic sites where fauna and humans can be analyzed together from an isotopic perspective. Here we present an isotopic study on the site of Cueva de Chaves as an example for understanding the dietary and economical changes that took place during Early Neolithic in Iberia. MATERIAL AND METHODS: Here we apply carbon and nitrogen stable isotope analysis to bone collagen from 4 humans and 64 faunal samples from 14 different species. The large dataset belongs to the same unique chrono-cultural context secured by 20 radiocarbon dates. Three direct new radiocarbon dates were carried out on the human remains analyzed. RESULTS: Faunal isotope values show no significant differences between wild and domestic herbivores, although the latter have more homogeneous values. Domestic pigs, potentially considered omnivorous, also show signatures of a herbivore diet. Human isotopic results show a diet mainly based on terrestrial C(3) resources and possibly high meat consumption. The only individual found buried with a special funerary treatment presents a slightly different protein intake, when taking into account the long contemporaneous baseline analyzed. DISCUSSION: Similar values between wild and domestic species could be the result of common feeding resources and/or grazing on the same parts of the landscape. The herbivore diet seen amongst domestic pigs rules out feeding on household leftovers. High meat consumption by humans would support the hypothesis of the existence of a specialized animal husbandry management community in which agriculture was not intensively developed. Our results suggest that the development of agricultural practices and animal husbandry were not necessarily associated together in the early stages of the Western Mediterranean Neolithic.",10.1002/ajpa.23622 [doi],animal management and carbon and nitrogen stable isotopes and cardial and domestication and funerary practices and radiocarbon dating,,,,,,,,,,,,,,,,,,,
"Yurkowski, David J and Hussey, Nigel E and Ferguson, Steven H and Fisk, Aaron T",2018,A temporal shift in trophic diversity among a predator assemblage in a warming Arctic.,Royal Society open science,"Climate change is leading to northward shifts in species distributions that is altering interspecific interactions at low- and mid-trophic levels. However, little attention has been focused on the effects of redistributions of species on the trophic ecology of a high trophic-level predator assemblage. Here, during a 22-year period (1990-2012) of increasing sea temperature (1.0°C) and decreasing sea ice extent (12%) in Cumberland Sound, Nunavut, Canada, we examined the trophic structure of a near-apex predator assemblage before (1990-2002) and after (2005-2012) an increase in the availability of capelin-generally an indicator species in colder marine environments for a warming climate. Stable isotopes (δ(13)C and δ(15)N) were used in a Bayesian framework to assess shifts in diet, niche size and community-wide metrics for beluga whales (Delphinapterus leucas), ringed seals (Pusa hispida), Greenland halibut (Reinhardtius hippoglossoides) and anadromous Arctic char (Salvelinus alpinus). After 2005, consumption of forage fish increased for all predator species, suggesting diet flexibility with changing abiotic and biotic conditions. An associated temporal shift from a trophically diverse to a trophically redundant predator assemblage occurred where predators now play similar trophic roles by consuming prey primarily from the pelagic energy pathway. Overall, these long-term ecological changes signify that trophic shifts of a high trophic-level predator assemblage associated with climate change have occurred in the Arctic food web.",rsos180259 [pii] and 10.1098/rsos.180259 [doi],climate change and community-wide metrics and fishes and food web structure and marine mammals and stable isotopes,,,,,,,,,,,,,,,,,,,
"Yang, Zhi and Chen, Xiaojuan and Zhao, Na and Tang, Huiyuan and Tao, Jiangping and Zhang, Peng and Shi, Fang and Wan, Chengyan",2018,"The Effect of Different Habitat Types and Ontogenetic Stages on the Diet Shift of a Critically Endangered Fish Species, Coreius guichenoti (Sauvage and Dabry de Thiersant, 1874).",International journal of environmental research and public health,"This study examined the effect of habitat types and ontogenetic stages on the diet shift of Coreius guichenoti (Sauvage and Dabry de Thiersant, 1874), a critically endangered fish species. Based on the stable isotope analysis method, the following was explored: the variations in δ(13)C and δ(15)N values, isotopic niche width and four basal food sources (Mollusks, Macrocrustaceans, Aquatic insect larvae and particulate organic matters (POMs)) among three essential habitat types (the spawning ground, natural riverine feeding and nursery area, and Three Gorges Reservoir area) and between two ontogenetic stages (immature and fully mature stages). A diet shift associated with habitat type changes was observed, but there were no obvious differences in diet composition between the two ontogenetic stages. Dietary plasticity and a preference for specific foods were the important determinants of feeding behavior through the life history of this species. POM was important for the survival of this species in the resource-limited spawning ground, but this species fed more heavily on higher-order consumers in resource-abundant areas. This study highlights the importance of maintaining free connectivity among different habitats (particularly spawning grounds) to ensure the long-term sustainability of potamodromous fish species as well as the full investigation of all types of critical habitats for understanding the trophic ecology of a single fish species.",ijerph15102240 [pii] and ijerph-15-02240 [pii] and 10.3390/ijerph15102240 [doi],diet plasticity and diet shift and food preference and isotopic niche and stable isotope analysis,,,,,,,,,,,,,,,,,,,
"Drago, Massimiliano and Franco-Trecu, Valentina and Segura, Angel M and Valdivia, Meica and González, Enrique M and Aguilar, Alex and Cardona, Luis",2018,Mouth gape determines the response of marine top predators to long-term fishery-induced changes in food web structure.,Scientific reports,"Here, we analyse changes throughout time in the isotopic niche of the Franciscana dolphin (Pontoporia blainvillei), the South American fur seal (Arctocephalus australis) and the South American sea lion (Otaria flavescens) from the Río de la Plata estuary and adjacent Atlantic Ocean to test the hypothesis that fishing may modify the diet of small-gape predators by reducing the average size of prey. The overall evidence, from stable isotope and stomach contents analyses, reveals major changes in resource partitioning between the three predators considered, mainly because of an increased access of Franciscana dolphins to juvenile demersal fishes. These results are consistent with the changes in the length distribution of demersal fish species resulting from fishing and suggest that Franciscana dolphin has been the most benefited species of the three marine mammal species considered because of its intermediate mouth gape. In conclusion, the impact of fishing on marine mammals goes beyond the simple reduction in prey biomass and is highly dependent on the mouth gape of the species involved.",10.1038/s41598-018-34100-8 [pii] and 34100 [pii] and 10.1038/s41598-018-34100-8 [doi],NA,,,,,,,,,,,,,,,,,,,
"Muñoz-Villers, Lyssette E and Holwerda, Friso and Alvarado-Barrientos, M Susana and Geissert, Daniel R and Dawson, Todd E",2018,Reduced dry season transpiration is coupled with shallow soil water use in tropical montane forest trees.,Oecologia,"Tropical montane cloud forests (TMCF) are ecosystems particularly sensitive to climate change; however, the effects of warmer and drier conditions on TMCF ecohydrology remain poorly understood. To investigate functional responses of TMCF trees to reduced water availability, we conducted a study during the 2014 dry season in the lower altitudinal limit of TMCF in central Veracruz, Mexico. Temporal variations of transpiration, depth of water uptake and tree water sources were examined for three dominant, brevi-deciduous species using micrometeorological, sap flow and soil moisture measurements, in combination with oxygen and hydrogen stable isotope composition of rainfall, tree xylem, soil and stream water. Over the course of the dry season, reductions in crown conductance and transpiration were observed in canopy species (43 and 34%, respectively) and mid-story trees (23 and 8%), as atmospheric demand increased and soil moisture decreased. Canopy species consistently showed more depleted isotope values compared to mid-story trees. However, MixSIAR Bayesian model results showed that the evaporated (enriched) soil water pool was the main source for trees despite reduced soil moisture. Additionally, while increases in tree water uptake from deeper to shallower soil water sources occurred, concomitant decreases in transpiration were observed as the dry season progressed. A larger reduction in deep soil water use was observed for canopy species (from 79 ± 19 to 24 ± 20%) compared to mid-story trees (from 12 ± 17 to 10 ± 12%). The increase in shallower soil water sources may reflect a trade-off between water and nutrient requirements in this forest.",10.1007/s00442-018-4209-0 [pii] and 10.1007/s00442-018-4209-0 [doi],Mexico and MixSIAR and Sap flow and Stable isotopes and Tree water sources,,,,,,,,,,,,,,,,,,,
"Donázar-Aramendía, I and Sánchez-Moyano, J E and García-Asencio, I and Miró, J M and Megina, C and García-Gómez, J C",2018,Maintenance dredging impacts on a highly stressed estuary (Guadalquivir estuary): A BACI approach through oligohaline and polyhaline habitats.,Marine environmental research,"Understanding the effects of dredging in estuaries is a hard task due to the difficulty of implementing an adequate environmental diagnosis, as a consequence of the salinity gradient and anthropogenic disturbances. To assess the effects of maintenance dredging work on the Guadalquivir estuary (southwestern Spain), we used a Before-After-Control-Impact (BACI) approach to determine both direct and indirect effects in two salinity ranges. No effects were found on water and sediment physicochemical characteristics. The small impacts on dredged areas were followed by a rapid recovery of opportunistic species. The poor status of the benthos does not permit the detection of significant effects on macrofaunal community structure. The use of stable isotopes analysis to determine impacts on food web structure showed that changes over time seem to be explained by natural temporal variation rather than the dredging works. This paper emphasises the need to define proper management and conservation plans to improve the status of the benthic communities of the Guadalquivir estuary.",S0141-1136(18)30148-X [pii] and 10.1016/j.marenvres.2018.07.012 [doi],Food web and Gulf of cadiz and Macrobenthic community and Salinity and Stable isotopes,,,,,,,,,,,,,,,,,,,
"Chen, Baodong and Nayuki, Keiichiro and Kuga, Yukari and Zhang, Xin and Wu, Songlin and Ohtomo, Ryo",2018,Uptake and Intraradical Immobilization of Cadmium by Arbuscular Mycorrhizal Fungi as Revealed by a Stable Isotope Tracer and Synchrotron Radiation μX-Ray Fluorescence Analysis.,Microbes and environments,"Arbuscular mycorrhizal (AM) fungi can improve plant tolerance to heavy metal contamination. This detoxification ability may largely depend on how AM fungi influence the uptake and distribution of metals in host plants. Two experiments were performed in order to gain insights into the mechanisms underlying cadmium (Cd) tolerance in mycorrhizal plants. Stable isotope Cd(106) and compartmented pots were adopted to quantify the contribution of the AM fungus, Rhizophagus irregularis, to the uptake of Cd by Lotus japonicus. Moreover, synchrotron radiation μX-ray fluorescence (SR-μXRF) was applied to localize Cd in the mycorrhizal roots at the sub-cellular level. The results obtained indicated that mycorrhizal colonization markedly enhanced Cd immobilization in plant roots. Less Cd was partitioned to plant shoots when only hyphae had access to Cd in the hyphal compartment than when roots also had direct access to the Cd pool. SR-μXRF imaging indicated that Cd absorbed by extraradical hyphae was translocated into intraradical fungal structures, in which arbuscules accumulated large amounts of Cd; however, plant cells without fungal structures and plant cell walls contained negligible amounts of Cd. The present results provide direct evidence for the intraradical immobilization of Cd absorbed by AM fungi, which may largely contribute to the enhanced tolerance of plants to Cd. Therefore, AM fungi may play a role in the phytostabilization of Cd-contaminated soil.",33_257 [pii] and 10.1264/jsme2.ME18010 [doi],arbuscular mycorrhizal fungi and cadmium and phytotoxicity and stable isotope and synchrotron radiation μX-ray fluorescence,,,,,,,,,,,,,,,,,,,
"Becherucci, Maria Eugenia and Alvarez, Maria Fernanda and Iribarne, Oscar and Martinetto, Paulina",2019,Eutrophication in a semi-desert coastal ecosystem promotes increases in N and C isotopic signatures and changes in primary sources.,Marine environmental research,"Using C and N isotopic signatures of food web components, we evaluated the land-marine coupling through nutrient flows and the likely changes in the food web structure in tidal channels with contrasting anthropogenic nutrient inputs at a semi desert-macrotidal coastal system (northern Argentine Patagonia). The results showed an increase in the δ(13)C signatures of primary producers and in the δ(15)N signatures in all levels of the benthic food web, from primary producers to predators, with possible changes in the relative contribution of primary food sources for consumer in the tidal channel with high anthropogenic N input. This is an example on the extent of the distribution of anthropogenic N into natural systems, flowing through the food web from terrestrial origin to coastal marine components.",S0141-1136(18)30909-7 [pii] and 10.1016/j.marenvres.2019.03.004 [doi],Anthropogenic nutrient enrichment and Coastal zone and Food web and Patagonia Argentina and Primary sources and Stable isotopes,,,,,,,,,,,,,,,,,,,
"Itahashi, Yu and Erdal, Yilmaz Selim and Tekin, Halil and Omar, Lubna and Miyake, Yutaka and Chikaraishi, Yoshito and Ohkouchi, Naohiko and Yoneda, Minoru",2019,Amino acid (15) N analysis reveals change in the importance of freshwater resources between the hunter-gatherer and farmer in the Neolithic upper Tigris.,American journal of physical anthropology,"OBJECTIVE: The inhabitants of several sites in the Upper Tigris Valley, such as Hakemi Use, domesticated animals and cereals during the Pottery Neolithic period, while the inhabitants in this valley were hunter-gatherers in the Pre-Pottery Neolithic period, consuming freshwater and terrestrial food resources. However, there is considerable uncertainty surrounding whether or not changes in dietary food composition accompanied the shift in food production away from foraging. In order to reveal the impact of the development of agriculture on the human diet over the Pre-Pottery and Pottery Neolithic periods in this region, we analyzed the isotopic compositions of amino acids from the farmers at the Hakemi Use Pottery Neolithic site, and compared them with those from the Pre-Pottery hunter-gatherers in the close region. MATERIALS AND METHODS: Herein, we report the nitrogen isotopic compositions of amino acids, as well as both carbon and nitrogen isotopic compositions of bulk collagen, from human and faunal remains collected from Hakemi Use. RESULTS: Whereas freshwater resources were consumed by hunter-gatherers in this region during the Pre-Pottery period, the δ(15) N values of glutamic acid (δ(15) N(Glu) ) and phenylalanine (δ(15) N(Phe) ) suggest that freshwater food resources were rarely consumed by inhabitants following the development of agriculture. DISCUSSION: Despite living in similar settings by the Tigris as its inhabitants during the Pre-Pottery period, the farmers of the Pottery Neolithic period depended less on freshwater resources for their diets relative to the hunter-gatherers of the Pre-Pottery Neolithic period.",10.1002/ajpa.23783 [doi],Anatolia and Neolithic period and amino acid and paleodiet and stable isotopes,,,,,,,,,,,,,,,,,,,
"Richardson, Kristen M and Iverson, John B and Kurle, Carolyn M",2019,Marine subsidies likely cause gigantism of iguanas in the Bahamas.,Oecologia,"We utilized natural experiment opportunities presented by differential conditions (presence/absence of seabirds and invasive species) on cays in the Bahamas to study whether interisland variations in food resources contributed to gigantism in Allen Cays Rock Iguanas (Cyclura cychlura inornata). We analyzed the stable carbon (δ(13)C) and nitrogen (δ(15)N) isotope values from iguana tissues and resources from each island food web to test the predictions that (1) food webs on islands with seabirds exhibit the influence of marine subsidies from seabird guano, whereas those from non-seabird islands do not, and (2) size differences in iguanas among cays were due to either (a) supplemental food availability from mice and/or seabird carcasses killed by barn owls (Tyto alba) and/or (b) access to more nutrient-rich vegetation fertilized by seabird guano. Food web components from the seabird island (Allen Cay) had 5-9‰ higher δ(15)N values than those on the other cays and Allen Cay plants contained nearly two times more nitrogen. Bayesian stable isotope mixing models indicated that C(3) plants dominated iguana diets on all islands and showed no evidence for consumption of mice or shearwaters. The iguanas on Allen Cay were ~ 2 times longer (48.3 ± 11.6 cm) and ~ 6 times heavier (5499 ± 2847 g) than iguanas on other cays and this was likely from marine-derived subsidies from seabird guano which caused an increase in nitrogen concentration in the plants and a resultant increase in the δ(15)N values across the entire food web relative to non-seabird islands.",10.1007/s00442-019-04366-4 [pii] and 10.1007/s00442-019-04366-4 [doi],Allen Cays Rock Iguana (Cyclura cychlura inornata) and Allochthonous inputs and Audubon’s Shearwaters (Puffinus ihermineiri ihermineiri) and Invasive species and Stable isotope analysis,,,,,,,,,,,,,,,,,,,
"Song, Mengke and Wang, Yujie and Jiang, Longfei and Peng, Ke and Wei, Zikai and Zhang, Dayi and Li, Yongtao and Zhang, Gan and Luo, Chunling",2019,The complex interactions between novel DEHP-metabolising bacteria and the microbes in agricultural soils.,The Science of the total environment,"The indigenous microorganisms with the ability of metabolising di-(2-ethylhexyl) phthalate (DEHP) in agricultural soils and their interactions with non-degrading microbes were revealed by DNA-based stable isotope probing coupled with molecular ecological network. Aside from the previously reported DEHP degraders (family Planococcaceae and genus Sphingobacterium), five OTUs representing bacteria affiliated with genus Brevundimona, class Spartobacteria, genus Singulisphaera, genus Dyella and class Ktedonobacteria were linked with DEHP biodegradation. The analysis of the constructed ecological network based on soil microbial communities demonstrated the negative relationships between DEHP degraders and the dominant family Oxalobacteraceae in soils. Additionally, two cultivable bacteria isolated from the same soils, Rhizobium-1 and Ensifer-1, had strong capabilities in degrading DEHP but their involvement in in situ DEHP degradation was questioned, as their DNA was not labelled with (13)C from DEHP. These findings provide deeper understanding on the indigenous DEHP-degrading communities and will benefit the remediation of phthalate esters contaminated soils.",S0048-9697(19)30058-0 [pii] and 10.1016/j.scitotenv.2019.01.052 [doi],Agricultural soil and DEHP biodegradation and Microbial interaction and Stable isotope probing,,,,,,,,,,,,,,,,,,,
"Stadler, Philipp and Blöschl, Günter and Nemeth, Lukas and Oismüller, Markus and Kumpan, Monika and Krampe, Jörg and Farnleitner, Andreas H and Zessner, Matthias",2019,Event-transport of beta-d-glucuronidase in an agricultural headwater stream: Assessment of seasonal patterns by on-line enzymatic activity measurements and environmental isotopes.,The Science of the total environment,"Understanding the fate of fecal pollution in the landscape is required for microbial risk analysis. The aim of this study was to assess the patterns and dynamics of beta-d-glucuronidase (GLUC), which has been suggested as a surrogate for fecal pollution monitoring, in a stream draining an agricultural headwater catchment. Automated enzymatic on-site measurements of stream water and sediments were made over two years (2014-2016) to quantify the sources and pathways of GLUC in a stream. The event water fraction of streamflow was estimated by stable isotopes. Samples from field sediments on a hillslope, streambed sediment and stream water were analyzed for GLUC and with a standard E. coli assay. The results showed ten times higher GLUC and E. coli concentrations during the summer than during the winter for all compartments (field and streambed sediments and stream water). The E. coli concentrations in the streambed sediment were approximately 100 times those of the field sediments. Of the total GLUC load in the study period, 39% were transported during hydrological events (increased streamflow due to rainfall or snowmelt); of these, 44% were transported when the stream contained no recent rainwater. The results suggested that a large proportion of the GLUC and E. coli in the stream water stemmed from resuspended streambed sediments. Moreover, the results strongly indicated the existence of remnant populations of GLUC-active organisms in the catchment.",S0048-9697(19)30160-3 [pii] and 10.1016/j.scitotenv.2019.01.143 [doi],Contaminant event transport and Enzymatic activity and Fecal pollution and Stable isotopes and Surface water and Water quality monitoring,,,,,,,,,,,,,,,,,,,
"Funes, Manuela and Marinao, Cristian and Galván, David E",2019,Does trawl fisheries affect the diet of fishes? A stable isotope analysis approach().,Isotopes in environmental and health studies,"Trawling is the main fishing practice worldwide and its ecosystem effects have been raising concern over the past decades. Long-term impacts can be monitored through changes in the trophic structure, and several studies evaluated trophic level (TL) shifts in fish populations between trawled and untrawled environments. However, published results are contrasting. We performed a metanalysis integrating all available studies that evaluated TL shifts in fishes between trawled and untrawled environments and conducted a local study comparing several features of the trophic ecology in two species of fishes. According to the metanalysis, TL does not change significantly with trawling. In contrast, the local study showed higher TLs and broader isotopic niches in the trawled environment. Diet reconstruction indicated a potential consumption of hake, the main discard component, at the trawled environment. All the studies used in the metanalysis were conducted in the Northern Hemisphere, whereas the local study represents the first data available from the Southern Hemisphere. As industrial commercial fisheries in Argentina are relatively recent, it is possible that our data are capturing the initial stage of ecological changes induced by trawling, compared with the historical fisheries located at the Northern Hemisphere.",10.1080/10256016.2019.1626381 [doi],Bycatch consumption and Patagonia and carbon-13 and fisheries impact and isotope ecology and metanalysis and nitrogen-15 and reef fish and trophic position,,,,,,,,,,,,,,,,,,,
"Rossi, Loreto and Sporta Caputi, Simona and Calizza, Edoardo and Careddu, Giulio and Oliverio, Marco and Schiaparelli, Stefano and Costantini, Maria Letizia",2019,Antarctic food web architecture under varying dynamics of sea ice cover.,Scientific reports,"In the Ross Sea, biodiversity organisation is strongly influenced by sea-ice cover, which is characterised by marked spatio-temporal variations. Expected changes in seasonal sea-ice dynamics will be reflected in food web architecture, providing a unique opportunity to study effects of climate change. Based on individual stable isotope analyses and the high taxonomic resolution of sampled specimens, we described benthic food webs in contrasting conditions of seasonal sea-ice persistence (early vs. late sea-ice break up) in medium-depth waters in Terra Nova Bay (Ross Sea). The architecture of biodiversity was reshaped by the pulsed input of sympagic food sources following sea-ice break up, with food web simplification, decreased intraguild predation, potential disturbance propagation and increased vulnerability to biodiversity loss. Following our approach, it was possible to describe in unprecedented detail the complex structure of biodiverse communities, emphasising the role of sympagic inputs, regulated by sea-ice dynamics, in structuring Antarctic medium-depth benthic food webs.",10.1038/s41598-019-48245-7 [pii] and 48245 [pii] and 10.1038/s41598-019-48245-7 [doi],NA,,,,,,,,,,,,,,,,,,,
"DeSantis, Larisa R G and Crites, Jonathan M and Feranec, Robert S and Fox-Dobbs, Kena and Farrell, Aisling B and Harris, John M and Takeuchi, Gary T and Cerling, Thure E",2019,Causes and Consequences of Pleistocene Megafaunal Extinctions as Revealed from Rancho La Brea Mammals.,Current biology : CB,"The fossils preserved in the Rancho La Brea ""tar"" seeps in southern California span the past ∼50,000 years and provide a rare opportunity to assess the ecology of predators (e.g., the American lion, sabertooth cats, cougars, dire wolves, gray wolves, and coyotes), including clarifying the causes and consequences of the terminal Pleistocene extinction event. Here, a multi-proxy approach elucidates dietary responses of carnivorans to changing climates and megafaunal extinctions. Using sample sizes that are unavailable anywhere else in the world, including hundreds of carnivoran and herbivore specimens, we clarify the paleobiology of the extinct sabertooth cats and dire wolves-overturning the idea that they heavily competed for similar prey. Canids (especially the dire wolf) consumed prey from more open environments than felids, demonstrating minimal competition for prey throughout the latest Pleistocene and largely irrespective of changing climates, including just prior to their extinction. Coyotes experienced a dramatic shift in dietary behavior toward increased carcass utilization and the consumption of forest resources (prey and/or plant resources) after the terminal Pleistocene megafaunal extinction. Extant predators' ability to effectively hunt smaller prey and/or utilize carcasses may have been a key to their survival, especially after a significant reduction in megafaunal prey resources. Collectively, these data suggest that dietary niches of carnivorans are not always static and can instead be substantially affected by the removal of top predators and abundant prey resources.",S0960-9822(19)30786-9 [pii] and 10.1016/j.cub.2019.06.059 [doi],Canis and Carnivora and Pleistocene and Rancho La Brea and Smilodon and dental microwear and diet and mammals and paleoecology and stable isotopes,,,,,,,,,,,,,,,,,,,
"Donázar-Aramendía, I and Sánchez-Moyano, J E and García-Asencio, I and Miró, J M and Megina, C and García-Gómez, J C",2019,Human pressures on two estuaries of the Iberian Peninsula are reflected in food web structure.,Scientific reports,"As a result of the increased urban and agricultural development in coastal environments, estuaries are among the most modified and threatened aquatic ecosystems. This study used stable isotopes to examine the effects of human impacts by contrasting the food web structures of two Iberian estuaries exposed to different degrees of human pressure. More complex feeding pathways were found in the more altered estuary (Guadalquivir). Greater spread among species along the carbon axis suggests that the primary consumers exploit organic matter with various origins, whereas different nitrogen signals of the secondary consumers suggest that they feed on different suites of prey. In contrast, the similar isotopic signals of secondary consumers in the relatively little influenced estuary (Guadiana) suggests similarity in diet composition and feeding on the same organic matter sources. Understanding trophic interactions in estuaries is vital for defining proper management and conservation, and the preliminary data provided here are one step in this direction.",10.1038/s41598-019-47793-2 [pii] and 47793 [pii] and 10.1038/s41598-019-47793-2 [doi],NA,,,,,,,,,,,,,,,,,,,
